	Current Fit	Current Fit	Reference Fit	Reference Fit
	ndata	$\chi^2/ndata$	ndata	$\chi^2/ndata$
group				
DEUTERON	155.0	0.7787331472429269	790	1.1601593057734392
ATLAS	44.0	0.7743517527704548	678	1.2497765112105028
NMC	nan	nan	204	1.6009662692437583
NUCLEAR	nan	nan	993	0.8290616256528488
HERACOMB	nan	nan	1208	1.2121391382726971
DYE886	nan	nan	89	1.6379589503048504
CDF	nan	nan	28	1.2174685091046713
D0	nan	nan	37	0.9548210987597077
CMS	nan	nan	473	1.317930508208131
LHCb	nan	nan	116	1.553966850006393
