		prev (Current Fit)	prev (Current Fit)	next (Current Fit)	next (Current Fit)
		Min	Max	Min	Max
$\Sigma$	$\alpha$	1.05	1.19	1.0957503624494211	1.194292719847674
$\Sigma$	$\beta$	1.47	2.7	0.9724492882078586	2.4879225631178037
$g$	$\alpha$	0.94	1.25	0.9667724779544276	1.2131040418032415
$g$	$\beta$	0.11	5.87	0.7218511900942168	5.668957417234299
$V$	$\alpha$	0.54	0.75	0.38539290918243907	0.8273950707246598
$V$	$\beta$	1.15	2.76	0.0	3.423248434069231
$V3$	$\alpha$	0.21	0.57	-0.21785065122622438	0.7460109164576206
$V3$	$\beta$	1.35	3.08	0.0	4.228686240212248
$V8$	$\alpha$	0.52	0.76	0.30226671193795374	0.9527810396501493
$V8$	$\beta$	0.77	3.56	0.0	5.035996502854159
$T3$	$\alpha$	-0.37	1.52	-0.3167527533509371	1.0690668777457075
$T3$	$\beta$	1.74	3.39	1.3508379400955277	2.4822899071124245
$T8$	$\alpha$	0.56	1.29	0.44800854782496113	1.1007530374773138
$T8$	$\beta$	1.45	3.03	0.1434380335348282	2.572473110679324
$c^+$	$\alpha$	0.12	1.19	-0.36856575262359376	0.9361966663313221
$c^+$	$\beta$	1.83	6.7	0.29907680001383463	5.854022870338339
