		next (Current Fit)	next (Current Fit)
		Min	Max
$\Sigma$	$\alpha$	1.0957503624494211	1.194292719847674
$\Sigma$	$\beta$	0.9724492882078586	2.4879225631178037
$g$	$\alpha$	0.9667724779544276	1.2131040418032415
$g$	$\beta$	0.7218511900942168	5.668957417234299
$V$	$\alpha$	0.38539290918243907	0.8273950707246598
$V$	$\beta$	0.0	3.423248434069231
$V3$	$\alpha$	-0.21785065122622438	0.7460109164576206
$V3$	$\beta$	0.0	4.228686240212248
$V8$	$\alpha$	0.30226671193795374	0.9527810396501493
$V8$	$\beta$	0.0	5.035996502854159
$T3$	$\alpha$	-0.3167527533509371	1.0690668777457075
$T3$	$\beta$	1.3508379400955277	2.4822899071124245
$T8$	$\alpha$	0.44800854782496113	1.1007530374773138
$T8$	$\beta$	0.1434380335348282	2.572473110679324
$c^+$	$\alpha$	-0.36856575262359376	0.9361966663313221
$c^+$	$\beta$	0.29907680001383463	5.854022870338339
