		Current Fit	Current Fit	Reference Fit	Reference Fit
		ndata	$\chi^2/ndata$	ndata	$\chi^2/ndata$
group	dataset				
DEUTERON	NMC_NC_NOTFIXED_EM-F2	121.0	0.8448564390200086	121	0.8702857249021871
DEUTERON	SLAC_NC_NOTFIXED_D_EM-F2	34.0	0.5363697319338823	34	0.6316877404601682
ATLAS	ATLAS_Z0J_8TEV_PT-M	44.0	0.7743517527704551	44	0.907300143264564
DEUTERON	SLAC_NC_NOTFIXED_P_EM-F2	nan	nan	33	0.963920890680055
DEUTERON	BCDMS_NC_NOTFIXED_P_EM-F2	nan	nan	333	1.4088409088338996
DEUTERON	BCDMS_NC_NOTFIXED_D_EM-F2	nan	nan	248	1.0108911298685284
DEUTERON	DYE866_Z0_800GEV_DW_RATIO_PDXSECRATIO	nan	nan	15	0.5174731032821351
DEUTERON	DYE906_Z0_120GEV_DW_PDXSECRATIO	nan	nan	6	0.9403619718527443
NMC	NMC_NC_NOTFIXED_P_EM-SIGMARED	nan	nan	204	1.6009662692437583
NUCLEAR	CHORUS_CC_NOTFIXED_PB_NU-SIGMARED	nan	nan	416	0.9674685947973247
NUCLEAR	CHORUS_CC_NOTFIXED_PB_NB-SIGMARED	nan	nan	416	0.8770056909725071
NUCLEAR	NUTEV_CC_NOTFIXED_FE_NU-SIGMARED	nan	nan	39	0.3348690657761387
NUCLEAR	NUTEV_CC_NOTFIXED_FE_NB-SIGMARED	nan	nan	37	0.5667803716767378
NUCLEAR	DYE605_Z0_38P8GEV_DW_PXSEC	nan	nan	85	0.4589407894416543
HERACOMB	HERA_NC_318GEV_EM-SIGMARED	nan	nan	159	1.3931773030627173
HERACOMB	HERA_NC_225GEV_EP-SIGMARED	nan	nan	204	1.0741049544186498
HERACOMB	HERA_NC_251GEV_EP-SIGMARED	nan	nan	254	0.9156294853714061
HERACOMB	HERA_NC_300GEV_EP-SIGMARED	nan	nan	70	1.1368283923997726
HERACOMB	HERA_NC_318GEV_EP-SIGMARED	nan	nan	377	1.2899582558134268
HERACOMB	HERA_CC_318GEV_EM-SIGMARED	nan	nan	42	1.2536863272746017
HERACOMB	HERA_CC_318GEV_EP-SIGMARED	nan	nan	39	1.220602867915238
HERACOMB	HERA_NC_318GEV_EAVG_CHARM-SIGMARED	nan	nan	37	2.0221518937572895
HERACOMB	HERA_NC_318GEV_EAVG_BOTTOM-SIGMARED	nan	nan	26	1.4427925345059043
DYE886	DYE866_Z0_800GEV_PXSEC	nan	nan	89	1.6379589503048504
CDF	CDF_Z0_1P96TEV_ZRAP	nan	nan	28	1.2174685091046769
D0	D0_Z0_1P96TEV_ZRAP	nan	nan	28	0.6415111349202897
D0	D0_WPWM_1P96TEV_ASY	nan	nan	9	1.9295632084823409
ATLAS	ATLAS_WPWM_7TEV_36PB_ETA	nan	nan	22	1.1164370792161948
ATLAS	ATLAS_Z0_7TEV_36PB_ETA	nan	nan	8	0.5796658772568531
ATLAS	ATLAS_Z0_7TEV_49FB_HIMASS	nan	nan	5	1.6122830892852549
ATLAS	ATLAS_Z0_7TEV_LOMASS_M	nan	nan	6	0.8829705408741183
ATLAS	ATLAS_WPWM_7TEV_46FB_CC-ETA	nan	nan	22	2.0610674325307543
ATLAS	ATLAS_Z0_7TEV_46FB_CC-Y	nan	nan	24	1.7636534561211554
ATLAS	ATLAS_Z0_7TEV_46FB_CF-Y	nan	nan	15	1.0675720437647616
ATLAS	ATLAS_Z0_8TEV_HIMASS_M-Y	nan	nan	48	1.0832776899273442
ATLAS	ATLAS_Z0_8TEV_LOWMASS_M-Y	nan	nan	60	1.2063476784791944
ATLAS	ATLAS_Z0_13TEV_TOT	nan	nan	1	0.3134288271480598
ATLAS	ATLAS_WPWM_13TEV_TOT	nan	nan	2	1.238725317550882
ATLAS	ATLAS_WJ_8TEV_WP-PT	nan	nan	15	0.8005925226910684
ATLAS	ATLAS_WJ_8TEV_WM-PT	nan	nan	15	1.4948401533762317
ATLAS	ATLAS_Z0J_8TEV_PT-Y	nan	nan	48	0.8804266937475735
ATLAS	ATLAS_TTBAR_7TEV_TOT_X-SEC	nan	nan	1	4.779137830987211
ATLAS	ATLAS_TTBAR_8TEV_TOT_X-SEC	nan	nan	1	0.04077813758050876
ATLAS	ATLAS_TTBAR_13TEV_TOT_X-SEC	nan	nan	1	0.5779765975585069
ATLAS	ATLAS_TTBAR_8TEV_LJ_DIF_YT-NORM	nan	nan	4	3.100156492371883
ATLAS	ATLAS_TTBAR_8TEV_LJ_DIF_YTTBAR-NORM	nan	nan	4	3.8904501937173652
ATLAS	ATLAS_TTBAR_8TEV_2L_DIF_YTTBAR-NORM	nan	nan	4	1.5742427297904373
ATLAS	ATLAS_1JET_8TEV_R06_PTY	nan	nan	171	0.6920196642562809
ATLAS	ATLAS_2JET_7TEV_R06_M12Y	nan	nan	90	2.1486871874608555
ATLAS	ATLAS_PH_13TEV_XSEC	nan	nan	53	0.7550163751999566
ATLAS	ATLAS_SINGLETOP_7TEV_TCHANNEL-XSEC	nan	nan	1	0.48367682089158026
ATLAS	ATLAS_SINGLETOP_13TEV_TCHANNEL-XSEC	nan	nan	1	0.05980761958721908
ATLAS	ATLAS_SINGLETOP_7TEV_T-Y-NORM	nan	nan	3	0.9620288677159331
ATLAS	ATLAS_SINGLETOP_7TEV_TBAR-Y-NORM	nan	nan	3	0.062136781515230714
ATLAS	ATLAS_SINGLETOP_8TEV_T-RAP-NORM	nan	nan	3	0.24656285935367186
ATLAS	ATLAS_SINGLETOP_8TEV_TBAR-RAP-NORM	nan	nan	3	0.18772308961756076
CMS	CMS_WPWM_7TEV_ELECTRON_ASY	nan	nan	11	0.8341389893769245
CMS	CMS_WPWM_7TEV_MUON_ASY	nan	nan	11	1.7225905974954168
CMS	CMS_Z0_7TEV_DIMUON_2D	nan	nan	110	1.348624184110554
CMS	CMS_WPWM_8TEV_MUON_Y	nan	nan	22	1.3935179888246618
CMS	CMS_Z0J_8TEV_PT-Y	nan	nan	28	1.401181986658581
CMS	CMS_2JET_7TEV_M12Y	nan	nan	54	1.8091957960964566
CMS	CMS_1JET_8TEV_PTY	nan	nan	185	1.1883578905080447
CMS	CMS_TTBAR_7TEV_TOT_X-SEC	nan	nan	1	1.1680453721483437
CMS	CMS_TTBAR_8TEV_TOT_X-SEC	nan	nan	1	0.34685450041028726
CMS	CMS_TTBAR_13TEV_TOT_X-SEC	nan	nan	1	0.03976782573997597
CMS	CMS_TTBAR_8TEV_LJ_DIF_YTTBAR-NORM	nan	nan	9	1.1997697218075567
CMS	CMS_TTBAR_5TEV_TOT_X-SEC	nan	nan	1	0.004586971804598666
CMS	CMS_TTBAR_8TEV_2L_DIF_MTTBAR-YT-NORM	nan	nan	15	1.3071749909028176
CMS	CMS_TTBAR_13TEV_2L_DIF_YT	nan	nan	10	0.5095603463476601
CMS	CMS_TTBAR_13TEV_LJ_2016_DIF_YT	nan	nan	11	0.5751045097317333
CMS	CMS_SINGLETOP_7TEV_TCHANNEL-XSEC	nan	nan	1	0.7616217965647187
CMS	CMS_SINGLETOP_8TEV_TCHANNEL-XSEC	nan	nan	1	0.17015162841100026
CMS	CMS_SINGLETOP_13TEV_TCHANNEL-XSEC	nan	nan	1	0.3530250911938757
LHCb	LHCB_Z0_7TEV_DIELECTRON_Y	nan	nan	9	1.655165757248489
LHCb	LHCB_Z0_8TEV_DIELECTRON_Y	nan	nan	17	1.2464350807283626
LHCb	LHCB_WPWM_7TEV_MUON_Y	nan	nan	14	2.7327719386744485
LHCb	LHCB_Z0_7TEV_MUON_Y	nan	nan	15	0.7952475039915856
LHCb	LHCB_WPWM_8TEV_MUON_Y	nan	nan	14	1.0195448516712093
LHCb	LHCB_Z0_8TEV_MUON_Y	nan	nan	16	1.4681900728699557
LHCb	LHCB_Z0_13TEV_DIMUON-Y	nan	nan	16	0.9455552868103769
LHCb	LHCB_Z0_13TEV_DIELECTRON-Y	nan	nan	15	1.7344556432309655
