	NNPDF4.0-like	NNPDF4.0-like	NNPDF4.0-baseline	NNPDF4.0-baseline
	ndata	$\chi^2/ndata$	ndata	$\chi^2/ndata$
group				
DIS NC	2100	1.232916339397724	2100	1.2277691202035497
DIS CC	989	0.9034330787894843	989	0.9006489617483697
DY NC	735	1.1968411551696445	736	1.1997971234988507
DY CC	157	1.4222401239870537	157	1.4645951766789083
TOP	64	1.2960286238386578	64	1.2279919240110606
JETS	356	0.90254535048563	356	0.9499482368871155
DIJET	144	2.014177801652842	144	2.021377915699203
PHOTON	53	0.7580072350357716	53	0.7550163751999566
SINGLETOP	17	0.3640089197213881	17	0.3649198677209167
