	NNPDF4.0-like	NNPDF4.0-like	NNPDF4.0-baseline	NNPDF4.0-baseline
	ndata	$\phi$	ndata	$\phi$
group				
DIS NC	2100	0.14009075887483152	2100	0.14446227669543182
DIS CC	989	0.1174622738427449	989	0.1194212525364492
DY NC	735	0.1747113532153993	736	0.17881564827286078
DY CC	157	0.3035326334685412	157	0.32936395561167037
TOP	64	0.17588401434745538	64	0.1731715893099234
JETS	356	0.12030842152567413	356	0.1292343029040945
DIJET	144	0.08993642610388883	144	0.11284138049586283
PHOTON	53	0.04937711126157568	53	0.05677953589512926
SINGLETOP	17	0.03910642467318713	17	0.035738741517954926
