		NNPDF4.0-like	NNPDF4.0-like	NNPDF4.0-baseline	NNPDF4.0-baseline
		ndata	$\chi^2/ndata$	ndata	$\chi^2/ndata$
group	dataset				
DEUTERON	NMC_NC_NOTFIXED_EM-F2	121	0.8791092685480175	121	0.8702857249021871
DEUTERON	SLAC_NC_NOTFIXED_P_EM-F2	33	1.0080483262160005	33	0.963920890680055
DEUTERON	SLAC_NC_NOTFIXED_D_EM-F2	34	0.6521793061960113	34	0.6316877404601682
DEUTERON	BCDMS_NC_NOTFIXED_P_EM-F2	333	1.4143967241074196	333	1.4088409088338996
DEUTERON	BCDMS_NC_NOTFIXED_D_EM-F2	248	0.9990573937247289	248	1.0108911298685284
DEUTERON	DYE866_Z0_800GEV_DW_RATIO_PDXSECRATIO	15	0.48855300868170914	15	0.5174731032821351
DEUTERON	DYE906_Z0_120GEV_DW_PDXSECRATIO	6	0.8690030191449339	6	0.9403619718527443
NMC	NMC_NC_NOTFIXED_P_EM-SIGMARED	204	1.5716197958779747	204	1.6009662692437583
NUCLEAR	CHORUS_CC_NOTFIXED_PB_NU-SIGMARED	416	0.9659717149795559	416	0.9674685947973247
NUCLEAR	CHORUS_CC_NOTFIXED_PB_NB-SIGMARED	416	0.8793054981907542	416	0.8770056909725071
NUCLEAR	NUTEV_CC_NOTFIXED_FE_NU-SIGMARED	39	0.3801844730504412	39	0.3348690657761387
NUCLEAR	NUTEV_CC_NOTFIXED_FE_NB-SIGMARED	37	0.628538980325834	37	0.5667803716767378
NUCLEAR	DYE605_Z0_38P8GEV_DW_PXSEC	85	0.46456370266371605	85	0.4589407894416543
HERACOMB	HERA_NC_318GEV_EM-SIGMARED	159	1.406959885404687	159	1.3931773030627173
HERACOMB	HERA_NC_225GEV_EP-SIGMARED	204	1.083010949039581	204	1.0741049544186498
HERACOMB	HERA_NC_251GEV_EP-SIGMARED	254	0.9244180251646837	254	0.9156294853714061
HERACOMB	HERA_NC_300GEV_EP-SIGMARED	70	1.1106904235845665	70	1.1368283923997726
HERACOMB	HERA_NC_318GEV_EP-SIGMARED	377	1.3159903063465737	377	1.2899582558134268
HERACOMB	HERA_CC_318GEV_EM-SIGMARED	42	1.2477528291326068	42	1.2536863272746017
HERACOMB	HERA_CC_318GEV_EP-SIGMARED	39	1.197627509222635	39	1.220602867915238
HERACOMB	HERA_NC_318GEV_EAVG_CHARM-SIGMARED	37	1.9629922379392049	37	2.0221518937572895
HERACOMB	HERA_NC_318GEV_EAVG_BOTTOM-SIGMARED	26	1.4313388203819009	26	1.4427925345059043
DYE886	DYE866_Z0_800GEV_PXSEC	88	1.619848179343242	89	1.6379589503048504
CDF	CDF_Z0_1P96TEV_ZRAP	28	1.1942944315925959	28	1.2174685091046769
D0	D0_Z0_1P96TEV_ZRAP	28	0.6323722141412148	28	0.6415111349202897
D0	D0_WPWM_1P96TEV_ASY	9	1.594426251436208	9	1.9295632084823409
ATLAS	ATLAS_WPWM_7TEV_36PB_ETA	22	1.1284307166997876	22	1.1164370792161948
ATLAS	ATLAS_Z0_7TEV_36PB_ETA	8	0.5403407805897293	8	0.5796658772568531
ATLAS	ATLAS_Z0_7TEV_49FB_HIMASS	5	1.604328609197108	5	1.6122830892852549
ATLAS	ATLAS_Z0_7TEV_LOMASS_M	6	0.8844152285923892	6	0.8829705408741183
ATLAS	ATLAS_WPWM_7TEV_46FB_CC-ETA	22	2.162644675220294	22	2.0610674325307543
ATLAS	ATLAS_Z0_7TEV_46FB_CC-Y	24	1.7525219356616775	24	1.7636534561211554
ATLAS	ATLAS_Z0_7TEV_46FB_CF-Y	15	1.0519457551731732	15	1.0675720437647616
ATLAS	ATLAS_Z0_8TEV_HIMASS_M-Y	48	1.0967205347397853	48	1.0832776899273442
ATLAS	ATLAS_Z0_8TEV_LOWMASS_M-Y	60	1.1668412746320633	60	1.2063476784791944
ATLAS	ATLAS_Z0_13TEV_TOT	1	0.4553981142491449	1	0.3134288271480598
ATLAS	ATLAS_WPWM_13TEV_TOT	2	1.4080483302032276	2	1.238725317550882
ATLAS	ATLAS_WJ_8TEV_WP-PT	15	0.8211973727866566	15	0.8005925226910684
ATLAS	ATLAS_WJ_8TEV_WM-PT	15	1.5080828560698962	15	1.4948401533762317
ATLAS	ATLAS_Z0J_8TEV_PT-M	44	0.9136082111846823	44	0.907300143264564
ATLAS	ATLAS_Z0J_8TEV_PT-Y	48	0.8953564193010607	48	0.8804266937475735
ATLAS	ATLAS_TTBAR_7TEV_TOT_X-SEC	1	4.996843913539408	1	4.779137830987211
ATLAS	ATLAS_TTBAR_8TEV_TOT_X-SEC	1	0.06054151767010011	1	0.04077813758050876
ATLAS	ATLAS_TTBAR_13TEV_TOT_X-SEC	1	0.6047324677047057	1	0.5779765975585069
ATLAS	ATLAS_TTBAR_8TEV_LJ_DIF_YT-NORM	4	3.563354826483895	4	3.100156492371883
ATLAS	ATLAS_TTBAR_8TEV_LJ_DIF_YTTBAR-NORM	4	4.696888083470522	4	3.8904501937173652
ATLAS	ATLAS_TTBAR_8TEV_2L_DIF_YTTBAR-NORM	4	1.539942862592239	4	1.5742427297904373
ATLAS	ATLAS_1JET_8TEV_R06_PTY	171	0.6484280348178334	171	0.6920196642562809
ATLAS	ATLAS_2JET_7TEV_R06_M12Y	90	2.133738905084099	90	2.1486871874608555
ATLAS	ATLAS_PH_13TEV_XSEC	53	0.7580072350357716	53	0.7550163751999566
ATLAS	ATLAS_SINGLETOP_7TEV_TCHANNEL-XSEC	1	0.4645888504743552	1	0.48367682089158026
ATLAS	ATLAS_SINGLETOP_13TEV_TCHANNEL-XSEC	1	0.054732843672431176	1	0.05980761958721908
ATLAS	ATLAS_SINGLETOP_7TEV_T-Y-NORM	3	0.9571279687660873	3	0.9620288677159331
ATLAS	ATLAS_SINGLETOP_7TEV_TBAR-Y-NORM	3	0.06285403601526249	3	0.062136781515230714
ATLAS	ATLAS_SINGLETOP_8TEV_T-RAP-NORM	3	0.258952855949332	3	0.24656285935367186
ATLAS	ATLAS_SINGLETOP_8TEV_TBAR-RAP-NORM	3	0.18446524006336018	3	0.18772308961756076
CMS	CMS_WPWM_7TEV_ELECTRON_ASY	11	0.8149509464075514	11	0.8341389893769245
CMS	CMS_WPWM_7TEV_MUON_ASY	11	1.7293332243046828	11	1.7225905974954168
CMS	CMS_Z0_7TEV_DIMUON_2D	110	1.3502790592499772	110	1.348624184110554
CMS	CMS_WPWM_8TEV_MUON_Y	22	1.2788009085291772	22	1.3935179888246618
CMS	CMS_Z0J_8TEV_PT-Y	28	1.4137082525518676	28	1.401181986658581
CMS	CMS_2JET_7TEV_M12Y	54	1.8149092959340896	54	1.8091957960964566
CMS	CMS_1JET_8TEV_PTY	185	1.1374321665893736	185	1.1883578905080447
CMS	CMS_TTBAR_7TEV_TOT_X-SEC	1	1.2964022972647133	1	1.1680453721483437
CMS	CMS_TTBAR_8TEV_TOT_X-SEC	1	0.4103150332909095	1	0.34685450041028726
CMS	CMS_TTBAR_13TEV_TOT_X-SEC	1	0.03381710782387912	1	0.03976782573997597
CMS	CMS_TTBAR_8TEV_LJ_DIF_YTTBAR-NORM	9	1.195881386746271	9	1.1997697218075567
CMS	CMS_TTBAR_5TEV_TOT_X-SEC	1	0.007654193740964946	1	0.004586971804598666
CMS	CMS_TTBAR_8TEV_2L_DIF_MTTBAR-YT-NORM	15	1.2790552260577661	15	1.3071749909028176
CMS	CMS_TTBAR_13TEV_2L_DIF_YT	10	0.510906327794889	10	0.5095603463476601
CMS	CMS_TTBAR_13TEV_LJ_2016_DIF_YT	11	0.6361494624147034	11	0.5751045097317333
CMS	CMS_SINGLETOP_7TEV_TCHANNEL-XSEC	1	0.775506435337061	1	0.7616217965647187
CMS	CMS_SINGLETOP_8TEV_TCHANNEL-XSEC	1	0.16083952190289524	1	0.17015162841100026
CMS	CMS_SINGLETOP_13TEV_TCHANNEL-XSEC	1	0.34228368149472865	1	0.3530250911938757
LHCb	LHCB_Z0_7TEV_DIELECTRON_Y	9	1.6038323517660475	9	1.655165757248489
LHCb	LHCB_Z0_8TEV_DIELECTRON_Y	17	1.3024504745741181	17	1.2464350807283626
LHCb	LHCB_WPWM_7TEV_MUON_Y	14	2.6236924037754625	14	2.7327719386744485
LHCb	LHCB_Z0_7TEV_MUON_Y	15	0.8226326151287372	15	0.7952475039915856
LHCb	LHCB_WPWM_8TEV_MUON_Y	14	0.8337129997984436	14	1.0195448516712093
LHCb	LHCB_Z0_8TEV_MUON_Y	16	1.5883982379139217	16	1.4681900728699557
LHCb	LHCB_Z0_13TEV_DIMUON-Y	16	0.9818921304035243	16	0.9455552868103769
LHCb	LHCB_Z0_13TEV_DIELECTRON-Y	15	1.7750933365158261	15	1.7344556432309655
