		next (Current Fit)	next (Current Fit)
		Min	Max
$\Sigma$	$\alpha$	1.0911626652876842	1.1200005572728693
$\Sigma$	$\beta$	1.4666353570224118	3.025161606834051
$V$	$\alpha$	0.5470902037132555	0.7353740666954636
$V$	$\beta$	1.5327922497475694	3.1031264177276308
$T3$	$\alpha$	-0.3854209840330603	1.0181475608941342
$T3$	$\beta$	1.7684851173520346	3.2137734155698365
$V3$	$\alpha$	0.1781964602297294	0.3830493287842771
$V3$	$\beta$	1.7556823348696917	3.4815100953644116
$T8$	$\alpha$	0.5899172816370948	0.8620818611622607
$T8$	$\beta$	1.5699869338670394	3.1255908695715346
$V8$	$\alpha$	0.5757709267333077	0.7490249353508448
$V8$	$\beta$	1.6009487586939533	3.4924944569107783
$T15$	$\alpha$	1.0900175283881914	1.139928314766813
$T15$	$\beta$	1.525802957289802	2.981461069514479
$g$	$\alpha$	0.7720595598998455	1.0709514503998685
$g$	$\beta$	3.0132212873469832	5.281917151739647
