	Current Fit	Current Fit	Reference Fit	Reference Fit
	ndata	$\chi^2/ndata$	ndata	$\chi^2/ndata$
group				
DEUTERON	790	1.1601593057734385	790	1.1601593057734385
NMC	204	1.6009662692437583	204	1.6009662692437583
NUCLEAR	993	0.8290616256528492	993	0.8290616256528492
HERACOMB	1208	1.2121391382726967	1208	1.2121391382726967
DYE886	89	1.6379589503048504	89	1.6379589503048504
CDF	28	1.2174685091046713	28	1.2174685091046713
D0	37	0.9548210987597077	37	0.9548210987597077
ATLAS	678	1.2497765112105028	678	1.2497765112105028
CMS	473	1.3179305082081323	473	1.3179305082081323
LHCb	116	1.553966850006393	116	1.553966850006393
