	Current Fit	Current Fit	Reference Fit	Reference Fit
	ndata	$\phi$	ndata	$\phi$
group				
DEUTERON	790	0.1757380278249036	790	0.1757380278249036
NMC	204	0.12260874604456135	204	0.12260874604456135
NUCLEAR	993	0.11594398643044955	993	0.11594398643044955
HERACOMB	1208	0.14323698404170226	1208	0.14323698404170226
DYE886	89	0.23811987381099545	89	0.23811987381099545
CDF	28	0.20595278565140648	28	0.20595278565140648
D0	37	0.3186268657831323	37	0.3186268657831323
ATLAS	678	0.15363705222239768	678	0.15363705222239768
CMS	473	0.1585075357901082	473	0.1585075357901082
LHCb	116	0.2555332315015752	116	0.2555332315015752
