		next (Current Fit)	next (Current Fit)
		Min	Max
$\Sigma$	$\alpha$	1.116618779634927	1.116618779634927
$\Sigma$	$\beta$	1.5237213172707966	2.7359246643783375
$V$	$\alpha$	0.5947817426166953	0.6035210647915994
$V$	$\beta$	1.5854113273019823	2.712351040147164
$T3$	$\alpha$	-0.1154355594032113	-0.09053709088808254
$T3$	$\beta$	1.8985769837201487	2.8104287295430592
$V3$	$\alpha$	0.2095025027119409	0.3030447397063423
$V3$	$\beta$	1.8999813698375587	2.823390896548496
$T8$	$\alpha$	0.6831015468289049	0.7510358132551102
$T8$	$\beta$	1.6302809085197698	2.762366360209924
$V8$	$\alpha$	0.6555777140795512	0.6815395241589942
$V8$	$\beta$	1.6332203418063076	2.8294636979300183
$T15$	$\alpha$	1.1204347093879323	1.1328127353416066
$T15$	$\beta$	1.6057201724441907	2.6851687824623633
$g$	$\alpha$	0.9449219267297492	0.9449219267297492
$g$	$\beta$	3.1848262990315885	4.220294494736307
