		prev (Current Fit)	prev (Current Fit)	next (Current Fit)	next (Current Fit)
		Min	Max	Min	Max
$\Sigma$	$\alpha$	1.089	1.119	1.116618779634927	1.116618779634927
$\Sigma$	$\beta$	1.475	3.119	1.5237213172707966	2.7359246643783375
$g$	$\alpha$	0.7504	1.098	0.9449219267297492	0.9449219267297492
$g$	$\beta$	2.814	5.669	3.1848262990315885	4.220294494736307
$V$	$\alpha$	0.479	0.7384	0.5947817426166953	0.6035210647915994
$V$	$\beta$	1.549	3.532	1.5854113273019823	2.712351040147164
$V3$	$\alpha$	0.1073	0.4397	0.2095025027119409	0.3030447397063423
$V3$	$\beta$	1.733	3.458	1.8999813698375587	2.823390896548496
$V8$	$\alpha$	0.5507	0.7837	0.6555777140795512	0.6815395241589942
$V8$	$\beta$	1.516	3.356	1.6332203418063076	2.8294636979300183
$T3$	$\alpha$	-0.4506	0.9305	-0.1154355594032113	-0.09053709088808254
$T3$	$\beta$	1.745	3.424	1.8985769837201487	2.8104287295430592
$T8$	$\alpha$	0.5877	0.8687	0.6831015468289049	0.7510358132551102
$T8$	$\beta$	1.522	3.515	1.6302809085197698	2.762366360209924
$T15$	$\alpha$	1.089	1.141	1.1204347093879323	1.1328127353416066
$T15$	$\beta$	1.492	3.222	1.6057201724441907	2.6851687824623633
